1	Il	il	CLS	CLS	n=s|g=m|p=3	2	suj	2	suj	CO-6e-2016-VTAC603-D1-R21-V1_N.ac	1	1	1	3	_	1	3	_	_	_	_	_	_	_	_	_	_	_	_	_	_
2	était	être	V	V	n=s|t=I|p=3	0	root	0	root	CO-6e-2016-VTAC603-D1-R21-V1_N.ac	1	4	1	9	imparfait	4	9	_	_	_	_	_	_	_	_	_	_	_	_	_	_
3	une	une	DET	DET	n=s|g=f	4	det	4	det	CO-6e-2016-VTAC603-D1-R21-V1_N.ac	1	10	1	13	_	10	13	_	_	_	_	_	_	_	_	_	_	_	_	_	_
4	fois	fois	NC	NC	g=f	2	obj	2	obj	CO-6e-2016-VTAC603-D1-R21-V1_N.ac	1	14	1	18	_	14	18	_	_	_	Err	foi	14-18	_	_	_	_	_	_	_	_
5	une	une	DET	DET	n=s|g=f	7	det	7	det	CO-6e-2016-VTAC603-D1-R21-V1_N.ac	1	19	1	22	_	19	22	_	_	_	_	_	_	in_GNon_incertDNon_incertRNon	19-34	_	_	_	_	_	_
6	jeune	jeune	ADJ	ADJ	n=s	7	mod	7	mod	CO-6e-2016-VTAC603-D1-R21-V1_N.ac	1	23	1	28	_	23	28	_	_	_	_	_	_	in_GNon_incertDNon_incertRNon	19-34	_	_	_	_	_	_
7	fille	fille	NC	NC	n=s|g=f	2	mod	2	mod	CO-6e-2016-VTAC603-D1-R21-V1_N.ac	1	29	1	34	_	29	34	_	_	_	_	_	_	in_GNon_incertDNon_incertRNon	19-34	_	_	_	_	_	_
8	qui	qui	PROREL	PROREL	n=s	10	suj	10	suj	CO-6e-2016-VTAC603-D1-R21-V1_N.ac	1	35	1	38	_	35	38	_	_	_	_	_	_	is_GNon_incertDNon_incertRNon	35-38	_	_	_	_	_	_
9	s'	se	CLR	CLR	n=p,s|p=3	10	aff	10	aff	CO-6e-2016-VTAC603-D1-R21-V1_N.ac	1	39	1	41	_	39	41	_	_	_	_	_	_	_	_	_	_	_	_	_	_
10	appelait	appeler	V	V	n=s|t=I|p=3	7	mod_rel	7	mod_rel	CO-6e-2016-VTAC603-D1-R21-V1_N.ac	1	41	1	49	imparfait	41	49	_	_	_	Err	appelée	41-49	_	_	_	_	_	_	_	_
11	Jenny	Jenny	NPP	NPP	n=s|g=f	10	suj	10	suj	CO-6e-2016-VTAC603-D1-R21-V1_N.ac	1	50	1	55	_	50	55	_	_	_	_	_	_	is_GNon_incertDNon_incertRNon	50-55	_	_	_	_	_	_
"
"
1	elle	elle	CLS	CLS	n=s|g=f|p=3	2	suj	2	suj	CO-6e-2016-VTAC603-D1-R21-V1_N.ac	2	2	2	6	_	56	60	consigne	_	_	_	_	_	is_GNon_incertDNon_incertRNon	56-60	_	_	_	_	_	_
2	habitait	habiter	V	V	n=s|t=I|p=3	0	root	0	root	CO-6e-2016-VTAC603-D1-R21-V1_N.ac	2	7	2	15	imparfait	61	69	consigne	_	_	_	_	_	_	_	_	_	_	_	_	_
3	dans	dans	P	P		2	mod	2	mod	CO-6e-2016-VTAC603-D1-R21-V1_N.ac	2	16	2	20	_	70	74	consigne	_	_	_	_	_	_	_	_	_	_	_	_	_
4	cette	cette	DET	DET	n=s|g=f	5	det	5	det	CO-6e-2016-VTAC603-D1-R21-V1_N.ac	2	21	2	26	_	75	80	consigne	_	_	_	_	_	_	_	_	_	_	_	_	_
5	maison	maison	NC	NC	n=s|g=f	3	prep	3	prep	CO-6e-2016-VTAC603-D1-R21-V1_N.ac	2	27	2	33	_	81	87	consigne	_	_	_	_	_	_	_	_	_	_	_	_	_
6	depuis	depuis	P	P		2	mod	2	mod	CO-6e-2016-VTAC603-D1-R21-V1_N.ac	2	34	2	40	_	88	94	consigne	_	_	_	_	_	_	_	_	_	_	_	_	_
